consumer_num,connected_load (watts),total_energy_billed (kWh)
11083,150,22.25
25180,7686,1128.75
19938,440,169.58
1543,150,321.33
2229,150,213.58
26295,2680,17.67
17900,150,156.42
8712,690,151.08
22588,520,0
26386,1350,0
247,4000,423
22465,920,104.5
5464,900,600.17
545,150,271.67
520,1000,54.92
17253,230,80.33
8829,4500,179.92
26360,3300,39
5560,200,319.92
1963,150,204
11561,150,546.42
15087,1340,218.08
15629,150,252.33
21636,2740,29.92
4311,900,217.58
2203,150,227.5
833,150,81.17
2499,150,146.33
19675,150,208.33
13096,320,217.33
17714,790,15.58
11286,4000,236.42
4116,5000,749.67
19920,920,3.83
20755,150,263.42
4959,38739,4205.17
24660,2140,11
17121,2240,312.08
24423,3570,289
26187,1850,4.92
22160,4166,279.42
13675,240,368.75
22818,860,153.25
25944,12000,1032.5
18186,12745,111.5
25697,1615,36.33
23773,14758,384.17
17891,1200,102.17
16507,8876,251
3686,2933,180.92
6944,250,137.67
1273,150,98.25
24345,3120,3.5
2475,150,82.5
17259,750,7.25
9389,3895,100.58
11041,600,92.75
2466,150,154.33
9339,240,257.5
3491,2823,129.33
606,1000,104
1235,150,345.67
4830,600,141.75
7821,250,68.08
14177,200,258.58
2779,150,169.92
7297,1000,11.25
282,8000,398.33
25429,8755,114.08
9736,7164,251.42
24043,2460,127
19446,440,222.25
3413,150,501.58
10652,1390,158.5
18399,5000,100.58
7558,450,106.17
24451,1330,148
9145,2300,140.58
2809,746,0
23174,780,43.67
13646,460,55.92
11775,850,64.75
1322,1000,155.33
10705,2540,690.67
12844,150,114.58
8201,650,264.75
12160,150,68.42
2214,1000,433.33
20815,1100,229.17
12185,150,258
19612,700,0
1557,3093,373.33
14926,2000,89.17
10118,840,34.17
19258,160,118.42
19919,980,33.08
13385,280,126.83
15455,200,231.92
24558,4766,0
8708,600,450.83
15668,750,149.75
3689,150,92
12933,150,263.17
8884,480,195.5
6648,350,241.67
19182,540,212.42
23845,3531,437.42
14167,2270,220.5
16727,560,180.25
26008,4085,109.17
24456,3198,15.25
15767,230,238.67
1555,150,429.83
21147,1060,819.17
19818,1690,242.83
956,150,182.75
22905,1563,197
4217,600,68.5
21962,5470,141.92
25077,1280,121.75
25952,900,154.67
21716,2540,86
1417,1980,121.17
20500,300,90
4501,3580,237.92
9473,200,26.67
25863,3880,95.5
15067,340,195.33
11527,4360,167.25
20438,150,61.42
20050,250,193.33
12122,1000,0
13017,1000,67.33
6659,5650,167.08
2053,150,178.58
3381,150,181.5
24516,1900,0
18523,880,0
13369,1000,6.42
17027,840,182.75
16475,150,252.08
9668,200,98.75
17731,2115,91.33
23786,1480,324
7680,650,103.75
5223,150,254.33
15664,320,50
6020,8000,366.92
20934,2313,39.67
17274,3120,191.33
15708,150,188.25
15659,400,197.42
6712,450,148.42
3321,1000,67
3669,150,220
12962,150,336.58
22501,820,247.67
12109,900,214.5
24523,9246,409.42
16060,150,224.33
25448,7468,797.58
17692,1080,222.33
2670,4835,86.08
21138,5740,309.75
26011,1210,115.67
12817,420,34
21734,4028,159.83
14208,540,306
19487,6000,0
10041,4000,935.83
14498,180,7.67
25994,1100,2.67
2927,850,0
25729,5806,22
17759,1140,95
7815,650,133.83
2796,1000,186.58
7622,350,421.42
12316,150,160.75
12887,1420,126.33
15204,460,205.75
9377,10000,0
12756,150,48.5
18016,240,312.83
11476,4900,257.5
20956,8160,480.92
12846,150,159.08
24773,1100,57.92
13772,640,304.42
10006,340,211.17
7690,4500,367.08
24445,1240,1.5
25789,5400,181.25
2454,1000,79.17
19264,150,67.25
9594,450,165.25
24815,3593,130.67
17751,3736,225.08
19013,4890,137.75
17701,240,286.58
8513,150,290.17
9723,200,30.5
5695,650,0
7282,1000,15.92
21812,240,119.83
5827,12000,0
16160,5460,0
22916,4278,371.83
1801,2000,8.25
26299,4808,14.08
5477,600,195.42
24395,400,112.25
4408,900,219.08
26078,3533,166.5
11499,150,359.92
5538,200,90.5
12273,3900,163.25
2985,1000,316.33
20780,200,26.58
25464,3815,106.58
24424,6776,262
20066,300,303.42
10214,380,3.08
21765,900,291.42
10554,280,0
21999,200,4.5
2472,1000,462
24869,1420,131.67
23602,6471,139.25
17801,13000,833.33
4180,960,13.25
13117,840,201.58
4401,1290,98.5
9229,405,73.25
6655,450,214.67
17749,150,161.5
25458,890,286.58
2672,8846,229.67
18309,2058,162.25
13737,600,163.33
16210,180,199.75
3341,150,136.17
1298,1000,0
19742,846,229.75
7545,260,172.92
6329,150,260.25
6904,600,316
8218,150,0
19857,640,0
21375,440,0
23033,160,58.33
22704,3200,161
13175,150,1.67
25216,1373,45.92
2939,1000,363.92
21333,580,285.42
6495,13770,505.08
25249,1600,70.83
1672,4725,239.83
19781,340,70.42
24963,460,11.33
24105,4053,119.92
11160,150,289
14729,200,91.17
4865,600,354.42
3403,150,216.42
14779,160,131.75
25534,1060,136.5
25911,640,0
17985,1000,126.67
20756,4000,117.75
9074,200,843.5
13994,280,195
11587,1000,129.17
1492,150,222.08
15445,260,94.42
7969,4535,13.5
3307,150,89.67
2409,5110,400.58
8923,23750,1056.67
24667,3780,5
14233,2400,181.42
7964,450,120.83
10322,340,205.75
17352,400,57
24014,6050,482
12676,150,86
3370,150,63.92
14961,620,267.08
16667,680,578.33
17548,5950,1185.17
15333,240,109.17
12531,200,250.67
3745,5433,111.5
17311,380,265.08
22300,280,252
1934,150,144
17179,540,47.75
20582,200,140.33
26190,12164,14.75
12890,150,84.08
13492,1545,407.67
5031,21410,581.17
13796,360,157.83
6859,650,272.25
6719,450,137.75
3869,200,0
5317,150,270.33
4932,600,116.67
14718,360,0
8160,2000,0
12264,150,168.83
8476,4823,259.5
14902,500,174.75
16401,150,146.75
2247,5000,220.25
16225,1295,168
15325,540,29.5
21733,13000,68.67
12310,1000,0
6938,450,58.75
19362,150,345.83
8243,150,396.67
20353,200,211.58
20174,300,517.25
4706,800,26
1227,150,374.25
21130,970,43.92
18252,1260,161.5
14672,5000,734.92
15850,200,56.58
16138,150,64.33
7714,2000,492.83
20120,300,107.75
5155,4000,140.83
2028,8620,256.58
25551,2285,120.42
19678,150,247.33
1710,150,0
24269,9566,398
23287,960,214.5
4198,950,2.17
628,1000,65.58
16757,640,165.08
7137,360,13.08
19246,1320,231.58
13937,1603,326.83
26015,3535,8.08
11360,150,270.42
23700,1600,187.58
6442,1000,176.67
16054,400,182
25438,10140,262.92
8761,400,15.33
22030,2210,177.42
6617,4410,368.17
6067,150,143
673,150,480.42
11700,1000,109.83
3492,5000,667.67
6917,350,0
20342,300,384.83
5527,600,255.75
22384,2115,126.33
23087,2540,348.92
9538,400,8.08
25614,2880,162.67
22618,11980,2420.17
1550,150,367.58
1229,116,16002.33
7269,150,241
9912,1000,82.92
22204,460,35.67
16058,150,228
11837,450,2.08
25686,3935,1.08
17522,580,0.08
18669,500,289.33
5294,150,501.17
1920,150,310
5877,600,431.33
24073,4623,467.67
16896,260,178.67
20791,860,84
20001,150,1.5
5143,150,97.75
19230,2390,32
3798,300,417.83
24646,3040,5.67
25140,4560,82.25
3481,1000,57
11825,1000,55.83
10427,2000,198.67
9016,3950,112.25
17122,5890,711.83
22592,13840,0
5324,150,183.25
16156,660,72.33
7717,360,99.83
25524,840,90.5
11293,150,340.67
5289,150,148.17
3094,5000,196.17
19899,3000,300.75
19979,340,296
12417,150,64.83
7273,5000,147.5
17030,4868,174.58
6879,450,424.75
7647,650,0
8649,900,0
8301,150,259.08
5224,150,185.67
24795,3980,68.08
22236,2603,243
14724,100,197.08
21949,8806,244.17
80,1000,0
22566,260,32
1987,150,264.42
23324,5400,347.83
25989,1798,343.42
20385,2473,221.75
19022,4530,347.5
7494,7400,76.08
3093,1000,470.83
